# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Textures\Simon.png	255	0	255
10	Textures\Whip.png	255	0	255
20	Textures\Ground.png	255	0	255
30	Textures\Candle.png	255	0	255
40	Textures\Items.png	255	0	255
50	Textures\SubWeapons.png	255	0	255
60	Textures\Effect.png	255	0	255
70	Textures\Spark.png	255	0	255
80	Textures\TitleScene.png	255	0	255
90	Textures\TitleBat.png	0	0	0
100	Textures\Board.png	255	0	255
110	Textures\HP.png	255	0	255
120	Textures\Texts.png	255	0	255
130	Textures\Stair.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#0
100000	0	28	15	42	120
#1
100001	15	28	30	42	120
#2
100002	30	28	45	42	120
#3
100003	45	28	60	42	120
#4
100004	60	28	75	42	120
#5
100005	75	28	90	42	120
#6
100006	90	28	105	42	120
#7
100007	105	28	120	42	120
#8
100008	120	28	135	42	120
#9
100009	135	28	150	42	120
# HUD
1	0	0	520	80	100
#HP Simon
2	0	0	8	15	110
#HP lose
3	8	0	16	15	110
#HP Boss
4	16	0	24	15	110
# Simon
# idle
10	0	0	60	64	0
# walk
20	60	0	120	64	0		
30	120	0	180	64	0
40	180	0	240	64	0
#jump
50	240	0	300	64	0
#sit
60	302	198	360	262	0
#stand atk
70	300	0	360	64	0
80	360	0	420	64	0
90	420	0	479	64	0
#sit atk
100	420	66	480	130	0
110	0	132	60	196	0
120	60	132	120	196	0
#henshin
130	120	198	180	262	0
140	60	198	120	262	0
150	0	198	60	262	0
#stairdown
160	120	66	180	130	0
170	180	66	240	130	0
#stairup
180	240	66	300	130	0
190	300	66	360	130	0
#Whip
#nor whip
200	0	0	240	66	10
210	240	0	480	66	10
220	480	0	720	66	10
#short whip
230	0	66	240	132	10
240	240	66	480	132	10
250	480	66	720	132	10
#long whip
260	0	198	240	264	10
270	240	264	480	330	10
280	480	330	720	396	10					
#BRICK
300	0	0	32	32	20
310	32	0	64	32	20
#Candle 
400	0	0	32	64	30
410	32	0	64	64	30
420	64	0	80	32	30
430	80	0	96	32	30
#Items===
#smallheart
500	0	0	16	16	40
#lagreheart
501	16	0	40	20	40 
#moneybag
502	40	0	70	30	40
503	70	0	100	30	40
504	100	0	130	30	40
#invipotion
505	286	0	312	32	40
#subweapon
506	130	0	162	32	40
507	162	0	194	18	40
508	194	0	224	32	40
509	256	0	286	28	40
510	0	32	30	60	40
511	30	32	62	64	40
#double,tri
512	94	32	122	60	40
513	164	32	192	60	40
520	122	32	154	74	40
521	192	32	224	74	40
#specialItems
514	224	0	256	32	40
515	62	32	94	58	40
#magic crytal
516	234	32	260	64	40
517	260	32	286	64	40
#crown
518	286	32	316	64	40
519	316	32	346	64	40
#SubWeapons===
#dagger
600	204	0	238	18	50
#stop
610	238	0	268	32	50
#axe
620	84	0	114	28	50
621	114	0	144	28	50
622	144	0	174	28	50
623	174	0	204	28	50
#boomerang
624	0	0	28	28	50
625	28	0	56	28	50
626	56	0	84	28	50
#holy
627	268	0	300	28	50
#holyshattered
628	300	0	332	28	50
629	332	0	364	28	50
#Effect====
700	0	0	32	60	60
701	32	0	64	60	60
702	64	0	96	60	60
#Spark====
706	0	0	16	20	70	
#TitleBat====
900	0	0	144	112	90
901	144	0	288	112	90
902	288	0	432	112	90
903	432	0	576	112	90
904	576	0	720	112	90
905	0	112	144	224	90
906	144	112	288	224	90
907	288	112	432	224	90
908	432	112	576	224	90
909	576	112	720	224	90
910	0	224	144	336	90
911	144	224	288	336	90
912	288	224	432	336	90
913	432	224	576	336	90
