# id	file_path	transparent_color_r	g	b
[TEXTURES]
200	Textures\Zombie.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#zombie
4019	0	0	32	64	200
4020	32	0	64	64	200
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
4012	4019	120	4020	120
[ANIMATION_SETS]
27	4012	70
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Brick, 2 = Candle , 3 = Gate , 4 = Stair
# Simon
0	10	144	1	0	10	144	1	0
# Brick
1	-32	272	2	3
1	-32	304	2	3
1	-32	336	2	3
1	-32	368	2	3
1	-32	400	2	3
1	0	208	2	3
1	32	208	2	3
1	64	208	2	3
1	96	208	2	3
1	128	208	2	3
1	160	208	2	3
1	192	208	2	3
1	256	272	2	3
1	288	272	2	3
1	320	272	2	3
1	352	272	2	3
1	384	272	2	3
1	416	272	2	3
1	448	272	2	3
1	480	272	2	3
1	512	272	2	3
1	544	272	2	3
1	576	272	2	3
1	0	400	2	3
1	32	400	2	3
1	64	400	2	3
1	96	400	2	3
1	128	400	2	3
1	160	400	2	3
1	192	400	2	3
1	224	400	2	3
1	256	400	2	3
1	288	400	2	3
1	320	400	2	3
1	352	400	2	3
1	384	400	2	3
1	416	400	2	3
1	448	400	2	3
1	480	400	2	3
1	512	400	2	3
1	544	400	2	3
1	576	400	2	3
1	608	400	2	3
1	640	400	2	3
1	672	400	2	3
1	704	400	2	3
1	736	400	2	3
1	768	400	2	3
1	800	400	2	3
1	832	400	2	3
1	864	400	2	3
1	896	400	2	3
1	928	400	2	3
1	960	400	2	3
1	992	400	2	3
1	1024	400	2	3
1	1056	400	2	3
1	1088	400	2	3
1	1120	400	2	3
1	1152	400	2	3
1	1184	400	2	3
1	1216	400	2	3
1	1248	400	2	3
1	1280	400	2	3
1	1312	400	2	3
1	1344	336	2	3
1	1344	400	2	3
1	1376	400	2	3
1	1408	400	2	3
1	1440	272	2	3
1	1440	400	2	3
1	1472	272	2	3
1	1472	400	2	3
1	1504	80	2	4
1	1504	112	2	4
1	1505	144	2	4
1	1504	272	2	3
1	1505	304	2	4
1	1504	336	2	4	
1	1504	368	2	4
1	1504	400	2	3
1	1536	176	2	3
1	1536	208	2	3
1	1536	240	2	3
# Candle
# Gate
3	-60	112	5
# Stair
4	224	208	7	7
4	256	240	7	7
4	608	272	7	7
4	640	304	7	7
4	672	336	7	7
4	704	368	7	7
4	1376	304	7	6
4	1408	272	7	6
# BreakBrick
5	1376	336	3	15
#mobs
13	400	206	27	-1
13	400	334	27	-1
13	450	334	27	-1
13	1040	334	27	-1
